symbol,timestamp,open,high,low,close,volume
AAPL,2026-06-30T13:30:00+00:00,281.17,289.94,280.7,289.36,65100200
AAPL,2026-07-01T13:30:00+00:00,293.33,296.59,289.195,294.38,50046592
AMZN,2025-07-02T13:30:00+00:00,219.73,221.6,219.06,219.92,30894200
AMZN,2025-07-03T13:30:00+00:00,221.82,224.01,221.36,223.41,29632400
AMZN,2025-07-07T13:30:00+00:00,223,224.29,222.37,223.47,36604100
AMZN,2025-07-08T13:30:00+00:00,223.92,224,218.43,219.36,45692000
AMZN,2025-07-09T13:30:00+00:00,221.07,224.29,220.47,222.54,38155100
AMZN,2025-07-10T13:30:00+00:00,221.55,222.79,219.7,222.26,30370600
AMZN,2025-07-11T13:30:00+00:00,223.58,226.68,222.37,225.02,50518300
AMZN,2025-07-14T13:30:00+00:00,225.07,226.66,224.24,225.69,35702600
AMZN,2025-07-15T13:30:00+00:00,226.2,227.27,225.46,226.35,34907300
AMZN,2025-07-16T13:30:00+00:00,225.88,226.1,222.18,223.19,39535900
AMZN,2025-07-17T13:30:00+00:00,223.32,224.5,222.51,223.88,31855800
AMZN,2025-07-18T13:30:00+00:00,225.14,226.4,222.98,226.13,37833800
AMZN,2025-07-21T13:30:00+00:00,225.84,229.69,225.65,229.3,40297600
AMZN,2025-07-22T13:30:00+00:00,229.68,230,226.35,227.47,37483700
AMZN,2025-07-23T13:30:00+00:00,228.47,228.79,227.09,228.29,28294900
AMZN,2025-07-24T13:30:00+00:00,229.17,236,228.64,232.23,42902300
AMZN,2025-07-25T13:30:00+00:00,232.22,232.48,231.18,231.44,28712100
AMZN,2025-07-28T13:30:00+00:00,233.35,234.29,232.25,232.79,26300100
AMZN,2025-07-29T13:30:00+00:00,234.15,234.72,230.31,231.01,33716200
AMZN,2025-07-30T13:30:00+00:00,231.64,231.8,229.29,230.19,32993300
AMZN,2025-07-31T13:30:00+00:00,235.77,236.53,231.4,234.11,104357300
AMZN,2025-08-01T13:30:00+00:00,217.21,220.44,212.8,214.75,122258800
AMZN,2025-08-04T13:30:00+00:00,217.4,217.44,211.42,211.65,77890100
AMZN,2025-08-05T13:30:00+00:00,213.05,216.3,212.87,213.75,51505100
AMZN,2025-08-06T13:30:00+00:00,214.7,222.65,213.74,222.31,54823000
AMZN,2025-08-07T13:30:00+00:00,221,226.22,220.82,223.13,40603500
AMZN,2025-08-08T13:30:00+00:00,223.14,223.8,221.88,222.69,32970500
AMZN,2025-08-11T13:30:00+00:00,221.78,223.05,220.4,221.3,31646200
AMZN,2025-08-12T13:30:00+00:00,222.23,223.5,219.05,221.47,37185800
AMZN,2025-08-13T13:30:00+00:00,222,224.92,222,224.56,36508300
AMZN,2025-08-14T13:30:00+00:00,227.4,233.11,227.02,230.98,61545800
AMZN,2025-08-15T13:30:00+00:00,232.58,234.08,229.81,231.03,39649200
AMZN,2025-08-18T13:30:00+00:00,230.23,231.91,228.33,231.49,25248900
AMZN,2025-08-19T13:30:00+00:00,230.09,230.53,227.12,228.01,29891000
AMZN,2025-08-20T13:30:00+00:00,227.12,227.27,220.92,223.81,36604300
AMZN,2025-08-21T13:30:00+00:00,222.65,222.78,220.5,221.95,32140500
AMZN,2025-08-22T13:30:00+00:00,222.79,229.14,220.82,228.84,37315300
AMZN,2025-08-25T13:30:00+00:00,227.35,229.6,227.31,227.94,22633700
AMZN,2025-08-26T13:30:00+00:00,227.11,229,226.02,228.71,26105400
AMZN,2025-08-27T13:30:00+00:00,228.57,229.87,227.81,229.12,21254500
AMZN,2025-08-28T13:30:00+00:00,229.01,232.71,228.02,231.6,33679600
AMZN,2025-08-29T13:30:00+00:00,231.32,231.81,228.16,229,26199200
AMZN,2025-09-02T13:30:00+00:00,223.52,226.17,221.83,225.34,38843900
AMZN,2025-09-03T13:30:00+00:00,225.21,227.17,224.36,225.99,29223100
AMZN,2025-09-04T13:30:00+00:00,231.19,235.77,230.78,235.68,59391800
AMZN,2025-09-05T13:30:00+00:00,235.19,236,231.93,232.33,36721800
AMZN,2025-09-08T13:30:00+00:00,234.94,237.6,233.75,235.84,33947100
AMZN,2025-09-09T13:30:00+00:00,236.36,238.85,235.08,238.24,27033800
AMZN,2025-09-10T13:30:00+00:00,237.52,237.68,229.1,230.33,60907700
AMZN,2025-09-11T13:30:00+00:00,231.49,231.53,229.34,229.95,37485600
AMZN,2025-09-12T13:30:00+00:00,230.35,230.79,226.29,228.15,38496200
AMZN,2025-09-15T13:30:00+00:00,230.63,233.73,230.32,231.43,33243300
AMZN,2025-09-16T13:30:00+00:00,232.94,235.9,232.23,234.05,38203900
AMZN,2025-09-17T13:30:00+00:00,233.77,234.3,228.71,231.62,42815200
AMZN,2025-09-18T13:30:00+00:00,232.5,233.48,228.79,231.23,37931700
AMZN,2025-09-19T13:30:00+00:00,232.37,234.16,229.7,231.48,97943200
AMZN,2025-09-22T13:30:00+00:00,230.56,230.57,227.51,227.63,45914500
AMZN,2025-09-23T13:30:00+00:00,227.83,227.86,220.07,220.71,70956200
AMZN,2025-09-24T13:30:00+00:00,224.15,224.56,219.45,220.21,49509000
AMZN,2025-09-25T13:30:00+00:00,220.06,220.67,216.47,218.15,52226300
AMZN,2025-09-26T13:30:00+00:00,219.08,221.05,218.02,219.78,41650100
AMZN,2025-09-29T13:30:00+00:00,220.08,222.6,219.3,222.17,44259200
AMZN,2025-09-30T13:30:00+00:00,222.03,222.24,217.89,219.57,48396400
AMZN,2025-10-01T13:30:00+00:00,217.36,222.15,216.61,220.63,43933800
AMZN,2025-10-02T13:30:00+00:00,221.01,222.81,218.95,222.41,41258600
AMZN,2025-10-03T13:30:00+00:00,223.44,224.2,219.34,219.51,43639000
AMZN,2025-10-06T13:30:00+00:00,221,221.73,216.03,220.9,43690900
AMZN,2025-10-07T13:30:00+00:00,220.88,222.89,220.17,221.78,31194700
AMZN,2025-10-08T13:30:00+00:00,222.92,226.73,221.19,225.22,46686000
AMZN,2025-10-09T13:30:00+00:00,225,228.21,221.75,227.74,46412100
AMZN,2025-10-10T13:30:00+00:00,226.21,228.25,216,216.37,72367500
AMZN,2025-10-13T13:30:00+00:00,217.7,220.68,217.04,220.07,37809700
AMZN,2025-10-14T13:30:00+00:00,215.56,219.32,212.6,216.39,45665600
AMZN,2025-10-15T13:30:00+00:00,216.62,217.71,212.66,215.57,45909500
AMZN,2025-10-16T13:30:00+00:00,215.67,218.59,212.81,214.47,42414600
AMZN,2025-10-17T13:30:00+00:00,214.56,214.8,211.03,213.04,45986900
AMZN,2025-10-20T13:30:00+00:00,213.88,216.69,213.59,216.48,38882800
AMZN,2025-10-21T13:30:00+00:00,218.43,223.32,217.99,222.03,50494600
AMZN,2025-10-22T13:30:00+00:00,219.3,220.01,216.52,217.95,44308500
AMZN,2025-10-23T13:30:00+00:00,219,221.3,218.18,221.09,31540000
AMZN,2025-10-24T13:30:00+00:00,221.97,225.4,221.9,224.21,38685100
AMZN,2025-10-27T13:30:00+00:00,227.66,228.4,225.54,226.97,38267000
AMZN,2025-10-28T13:30:00+00:00,228.22,231.49,226.21,229.25,47100000
AMZN,2025-10-29T13:30:00+00:00,231.67,232.82,227.76,230.3,52036200
AMZN,2025-10-30T13:30:00+00:00,227.06,228.44,222.75,222.86,102252900
AMZN,2025-10-31T13:30:00+00:00,250.1,250.5,243.98,244.22,166340800
AMZN,2025-11-03T14:30:00+00:00,255.36,258.6,252.9,254,95997800
AMZN,2025-11-04T14:30:00+00:00,250.38,257.01,248.66,249.32,51546300
AMZN,2025-11-05T14:30:00+00:00,249.03,251,246.16,250.2,40610700
AMZN,2025-11-06T14:30:00+00:00,249.16,250.38,242.17,243.04,46004200
AMZN,2025-11-07T14:30:00+00:00,242.9,244.9,238.49,244.41,46374300
AMZN,2025-11-10T14:30:00+00:00,248.34,251.75,245.59,248.4,36476500
AMZN,2025-11-11T14:30:00+00:00,248.41,249.75,247.23,249.1,23564100
